date,open,high,low,close,volume
2007-01-11,175.21,177.67,174.99,176.26,108805.0
2007-01-12,178.21,179.64,177.29,179.36,93940.0
2007-01-15,180.55,180.66,179.09,179.82,66825.0
2007-01-16,179.98,180.31,179.14,179.73,71470.0
2007-01-17,180.05,180.05,176.98,178.5,86595.0
2007-01-18,178.33,179.3,177.57,179.12,66956.0
2007-01-19,177.21,177.84,175.62,176.23,87852.0
2007-01-22,176.81,177.01,174.75,176.83,71244.0
2007-01-23,175.44,177.33,175.35,176.9,66141.0
2007-01-24,177.81,179.52,177.64,179.37,72767.0
2007-01-25,180.6,180.6,178.73,179.12,62931.0
2007-01-26,177.83,178.65,176.88,177.58,59571.0
2007-01-29,178.32,178.57,176.2,176.41,56887.0
2007-01-30,176.7,177.68,176.08,177.45,61742.0
2007-01-31,178.01,178.01,175.65,175.99,96765.0
2007-02-01,176.89,179.1,176.21,179.1,75432.0
2007-02-02,179.58,183.23,179.54,183.2,104389.0
2007-02-05,183.21,184.13,182.66,183.73,76543.0
2007-02-06,183.46,185.12,183.17,185.09,79576.0
2007-02-07,185.34,185.39,183.66,184.67,77871.0
2007-02-08,184.43,185.29,183.23,184.25,71978.0
2007-02-09,184.4,185.47,184.13,184.72,73179.0
2007-02-12,183.22,183.22,181.36,182.8,74174.0
2007-02-13,182.59,184.17,182.18,183.29,75430.0
2007-02-14,184.77,186.39,184.77,185.72,91227.0
2007-02-15,187.64,187.71,186.5,186.82,91321.0
2007-02-16,186.9,187.58,186.12,187.57,93601.0
2007-02-20,187.83,188.2,186.85,188.12,70791.0
2007-02-21,188.5,188.7,186.96,187.9,85085.0
2007-02-22,188.09,190.58,188.07,189.72,96145.0
2007-02-23,190.4,190.46,188.87,190.19,126140.0
2007-02-26,189.69,190.24,189.07,190.12,79458.0
2007-02-27,189.93,189.93,188.02,188.15,84214.0
2007-02-28,180.5,183.2,180.27,183.2,165235.0
2007-03-02,181.87,184.02,181.69,182.78,115527.0
2007-03-05,180.94,181.45,177.61,177.69,86418.0
2007-03-06,178.66,181.42,178.66,181.23,78065.0
2007-03-07,182.9,182.91,180.46,182.36,81317.0
2007-03-08,182.07,185.31,181.93,183.94,98600.0
2007-03-09,185.24,185.43,182.83,183.87,80911.0
2007-03-12,184.7,186.42,184.7,186.36,81694.0
2007-03-13,186.32,186.42,185.23,185.72,74363.0
2007-03-14,182.2,183.17,181.54,181.81,75986.0
2007-03-15,183.35,184.75,182.79,184.41,69875.0
2007-03-16,184.59,185.0,182.84,184.42,65892.0
2007-03-19,184.01,186.55,183.4,186.31,80960.0
2007-03-20,187.02,187.07,185.82,186.34,105278.0
2007-03-21,186.58,187.49,185.22,186.24,104975.0
2007-03-22,187.48,188.13,186.97,187.15,109014.0
2007-03-23,187.39,187.98,186.33,186.89,92549.0
2007-03-26,187.41,188.09,186.43,187.19,102150.0
2007-03-27,187.21,188.18,186.19,187.68,85883.0
2007-03-28,187.48,188.21,185.06,185.96,94529.0
2007-03-29,185.32,187.78,185.01,187.44,88497.0
2007-03-30,188.33,188.58,186.98,187.6,85610.0
2007-04-02,188.05,189.25,187.97,188.56,103872.0
2007-04-03,189.1,189.26,187.67,189.12,118149.0
2007-04-04,190.59,191.98,190.0,191.77,129099.0
2007-04-05,192.0,192.07,190.99,191.41,84129.0
2007-04-06,192.22,192.34,190.8,191.63,92217.0
2007-04-09,192.4,193.92,192.34,193.85,130993.0
2007-04-10,193.75,193.94,192.6,193.55,115124.0
2007-04-11,194.75,196.15,194.56,195.27,126443.0
2007-04-12,194.77,196.82,194.38,196.81,113652.0
2007-04-13,196.43,196.77,194.83,195.85,105116.0
2007-04-16,196.24,197.29,195.65,197.1,112814.0
2007-04-17,197.92,197.96,195.97,196.57,109095.0
2007-04-18,197.04,197.86,196.64,197.31,101530.0
2007-04-19,197.6,197.67,193.51,194.59,108708.0
2007-04-20,195.27,197.24,195.27,197.24,108798.0
2007-04-23,198.82,199.88,197.67,198.62,120485.0
2007-04-24,198.69,200.21,197.68,200.02,124872.0
2007-04-25,200.16,200.27,197.17,198.43,155384.0
2007-04-26,200.4,201.23,199.7,199.75,119939.0
2007-04-27,198.76,199.53,197.5,198.28,101418.0
2007-04-30,197.9,198.55,196.88,198.55,70534.0
2007-05-02,199.76,200.43,199.09,199.86,83992.0
2007-05-03,201.12,201.24,200.0,200.67,87117.0
2007-05-04,201.1,201.56,200.29,201.56,91369.0
2007-05-07,202.45,203.8,202.42,203.57,115210.0
2007-05-08,203.64,204.29,202.76,203.51,110688.0
2007-05-09,203.47,204.77,202.78,204.77,94205.0
2007-05-10,205.94,207.81,205.51,205.51,115513.0
2007-05-11,204.14,206.24,203.33,206.06,102369.0
2007-05-14,207.12,208.46,205.47,206.28,112780.0
2007-05-15,205.54,207.13,204.12,204.22,103641.0
2007-05-16,204.42,205.73,203.79,205.62,114179.0
2007-05-17,207.32,207.49,206.48,207.35,103299.0
2007-05-18,206.96,207.58,205.17,206.69,89702.0
2007-05-21,205.44,208.86,205.41,208.74,114918.0
2007-05-22,209.33,210.74,208.47,210.69,132810.0
2007-05-23,211.22,211.87,210.14,211.15,111581.0
2007-05-25,208.83,210.7,208.63,210.54,106207.0
2007-05-28,211.17,212.05,210.56,211.88,116768.0
2007-05-29,212.38,212.81,210.87,212.06,124118.0
2007-05-30,211.93,211.97,208.82,211.76,138362.0
2007-05-31,214.34,216.67,213.58,216.45,169539.0
2007-06-01,218.01,222.38,217.3,218.74,200863.0
2007-06-04,221.04,222.55,218.68,221.9,169610.0
2007-06-05,221.58,222.97,219.6,222.37,193302.0
2007-06-07,219.75,223.25,219.04,223.17,180901.0
2007-06-08,220.7,221.17,218.36,219.8,167577.0
2007-06-11,221.38,221.7,217.62,218.39,192457.0
2007-06-12,218.02,220.07,217.78,219.94,157488.0
2007-06-13,218.72,219.9,217.8,218.59,151880.0
2007-06-14,221.05,224.46,220.87,224.46,176885.0
2007-06-15,224.85,225.26,223.53,224.61,156003.0
2007-06-18,226.27,228.89,225.92,228.8,179902.0
2007-06-19,229.75,229.75,227.35,229.04,170075.0
2007-06-20,229.76,229.79,225.8,226.58,207790.0
2007-06-21,225.65,229.08,224.83,227.81,197473.0
2007-06-22,228.65,228.86,223.61,224.95,241224.0
2007-06-25,222.73,227.1,222.04,223.4,124855.0
